Customer_ID,Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Signup_Quarter,Churned
CUST-000001,30.0,Male,Philippines,Cebu,0.2,19.7,9.6,8.23,23.06,2,11,312.06,30,1.88,32.39,38.68,1,2,54.69,0.4,3,3457.84,21.44,2024-Q2,0
CUST-000002,36.0,Female,Indonesia,Jakarta,2.5,27.8,11.5,4.7,0.0,6,12,115.63,48,27.89,8.25,53.35,2,2,54.43,8.9,2,1473.49,57.85,2025-Q2,0
CUST-000003,27.0,Male,Philippines,Cebu,0.5,19.3,9.3,7.0,72.52,4,9,135.74,103,42.56,13.62,58.99,5,1,35.5,5.4,4,1295.29,99.96,2024-Q2,0
CUST-000004,50.0,Male,Malaysia,Penang,1.1,15.5,18.4,5.34,30.5,7,8,75.64,54,22.61,10.22,61.81,0,3,89.63,7.7,2,771.49,5.54,2025-Q2,0
CUST-000005,39.0,Female,Indonesia,Bandung,2.7,11.7,12.4,5.91,58.79,8,4,122.07,35,60.47,13.83,37.07,3,1,51.91,1.3,2,555.92,142.96,2024-Q4,0
CUST-000006,25.0,Female,Thailand,Phuket,5.2,20.8,9.8,4.52,24.77,9,11,157.67,85,66.98,10.65,45.37,1,2,35.51,4.6,2,1842.98,9.5,2024-Q1,0
CUST-000007,35.0,Female,Philippines,Cebu,4.6,8.1,24.0,5.81,21.85,5,9,101.08,41,23.14,2.22,50.1,3,1,28.41,9.7,2,943.92,9.05,2025-Q1,0
CUST-000008,35.0,Male,Philippines,Manila,12.0,8.9,24.9,7.44,27.07,9,8,72.75,26,19.13,10.23,50.98,1,2,42.82,9.9,7,661.4,28.38,2024-Q2,0
CUST-000009,47.0,Female,Indonesia,Medan,1.8,25.2,12.0,5.31,43.05,8,7,164.39,49,34.85,45.37,72.79,2,2,87.89,7.3,3,1196.66,21.95,2024-Q3,0
CUST-000010,27.0,Female,Singapore,Singapore,4.4,15.8,5.8,5.17,41.52,5,7,264.44,31,10.46,22.81,67.31,1,3,49.56,3.3,2,1941.49,23.07,2024-Q3,0
CUST-000011,42.0,Female,Indonesia,Jakarta,4.2,15.6,25.2,7.52,47.95,4,7,39.69,74,39.52,1.78,35.23,1,3,52.2,3.2,3,335.22,54.82,2025-Q1,0
CUST-000012,34.0,Male,Thailand,Chiang Mai,6.9,16.6,16.8,7.69,28.07,6,10,69.34,22,77.1,7.02,81.5,1,1,30.49,6.0,4,774.88,22.5,2025-Q2,0
CUST-000013,50.0,Male,Malaysia,Penang,5.8,23.8,16.5,3.16,38.81,5,6,87.81,71,40.64,26.2,26.36,0,2,78.89,2.0,4,607.67,63.13,2024-Q3,0
CUST-000014,48.0,Male,Philippines,Cebu,3.2,19.3,14.6,5.93,21.14,6,5,73.84,51,23.67,15.17,66.03,1,2,24.13,1.9,4,435.41,16.78,2025-Q2,0
CUST-000015,36.0,Female,Indonesia,Medan,3.9,12.1,9.2,4.69,67.39,7,4,87.02,4,39.94,14.26,52.68,1,3,33.56,5.4,3,453.14,27.3,2024-Q2,0
CUST-000016,31.0,Female,Indonesia,Surabaya,3.4,12.3,11.5,6.03,11.72,4,8,51.85,53,51.05,5.03,41.43,1,1,25.94,3.4,4,470.08,25.09,2025-Q1,0
CUST-000017,40.0,Female,Singapore,Singapore,2.6,16.4,18.1,9.58,21.56,3,8,150.19,34,36.82,34.39,61.7,1,1,12.87,7.6,5,1256.67,51.51,2024-Q4,0
CUST-000018,32.0,Male,Indonesia,Surabaya,3.7,20.4,11.3,6.9,29.53,4,12,91.35,12,80.08,13.15,77.39,1,3,71.32,7.1,2,1187.23,13.18,2025-Q2,0
CUST-000019,52.0,Male,Philippines,Davao,3.0,17.7,16.6,11.41,85.78,4,6,103.25,17,7.94,21.49,70.06,1,2,57.76,1.4,3,708.27,16.47,2024-Q2,0
CUST-000020,35.0,Female,Malaysia,Johor Bahru,2.9,17.0,14.1,6.55,53.34,7,7,76.97,113,43.88,26.29,58.97,2,0,81.11,2.7,1,624.82,12.71,2025-Q2,0
CUST-000021,30.0,Female,Philippines,Davao,7.1,18.4,7.7,5.58,20.93,6,6,61.59,71,51.22,18.97,58.38,2,3,41.44,3.5,3,459.79,19.59,2024-Q3,0
CUST-000022,29.0,Other,Indonesia,Bandung,3.2,17.7,23.7,5.95,54.44,10,6,62.64,11,64.81,25.14,70.46,3,0,83.08,1.7,4,413.53,20.89,2025-Q1,0
CUST-000023,21.0,Female,Thailand,Bangkok,2.8,11.8,17.6,6.36,48.32,4,5,218.19,51,58.25,49.28,30.59,3,1,23.5,2.5,1,1148.79,10.03,2024-Q3,0
CUST-000024,40.0,Female,Thailand,Bangkok,2.4,26.9,16.0,6.81,43.47,2,5,52.42,68,34.39,21.35,25.72,0,1,41.25,2.5,3,299.82,27.54,2025-Q1,0
CUST-000025,25.0,Female,Philippines,Cebu,2.2,14.1,17.3,3.52,51.92,4,9,72.41,51,14.15,8.19,75.19,1,0,83.93,3.4,2,685.27,17.04,2024-Q3,0
CUST-000026,46.0,Female,Indonesia,Surabaya,1.1,19.0,3.2,5.42,39.16,7,6,33.27,16,41.73,6.0,53.72,2,3,72.59,5.9,4,356.52,38.35,2025-Q2,0
CUST-000027,20.0,Female,Singapore,Singapore,2.6,1.5,11.0,4.19,41.42,6,11,117.42,57,15.03,32.5,66.26,0,0,89.1,0.0,3,1356.57,74.44,2025-Q2,0
CUST-000028,35.0,Male,Indonesia,Jakarta,5.4,16.3,4.8,8.57,6.94,3,10,146.34,22,48.75,17.45,34.96,0,2,41.28,5.6,3,1481.87,59.14,2024-Q1,0
CUST-000029,47.0,Male,Indonesia,Jakarta,1.8,9.2,14.7,1.19,66.86,4,2,34.34,26,20.8,1.6,61.73,2,0,73.16,6.6,2,113.16,46.85,2024-Q4,0
CUST-000030,15.0,Female,Malaysia,Johor Bahru,9.0,10.2,16.0,6.39,29.05,5,13,60.47,11,89.03,10.53,84.01,2,0,21.81,8.8,1,819.1,4.81,2025-Q2,0
CUST-000031,56.0,Male,Malaysia,Johor Bahru,0.3,37.4,14.8,2.2,13.26,6,4,58.15,20,17.34,38.33,50.96,0,3,79.66,7.5,2,279.55,8.68,2024-Q1,0
CUST-000032,29.0,Male,Thailand,Phuket,3.6,20.0,21.1,7.08,27.91,6,11,73.99,8,54.21,8.94,32.85,3,2,57.23,0.6,4,831.84,25.27,2024-Q2,0
CUST-000033,36.0,Female,Indonesia,Jakarta,3.1,27.8,5.0,5.0,28.72,8,10,121.96,73,28.02,3.93,18.92,2,0,50.77,3.3,3,1321.45,11.65,2025-Q1,0
CUST-000034,40.0,Male,Indonesia,Jakarta,7.0,24.8,9.2,1.46,21.98,5,14,88.71,24,18.02,14.38,28.65,1,0,65.97,2.6,4,1344.2,8.46,2025-Q2,0
CUST-000035,42.0,Male,Singapore,Singapore,1.6,25.9,16.5,8.36,53.55,8,4,89.99,108,74.84,5.72,28.8,0,2,54.46,7.1,6,469.04,33.71,2025-Q2,0
CUST-000036,37.0,Male,Indonesia,Bandung,1.0,16.4,15.6,1.0,57.48,1,6,41.1,75,9.05,16.39,79.19,0,2,63.66,6.7,2,334.44,83.04,2025-Q1,0
CUST-000037,45.0,Female,Indonesia,Medan,2.3,30.9,6.1,5.92,0.0,1,4,87.94,73,42.91,9.46,34.15,0,0,40.61,2.4,5,465.89,118.33,2025-Q2,0
CUST-000038,40.0,Male,Singapore,Singapore,2.0,24.8,21.2,7.73,27.7,5,5,152.08,110,45.23,16.36,50.51,0,4,100.0,3.1,4,861.82,14.24,2024-Q3,0
CUST-000039,53.0,Male,Indonesia,Surabaya,0.7,18.3,23.3,9.44,29.14,4,9,95.38,3,52.92,13.52,86.1,2,1,26.91,4.6,2,877.86,95.11,2025-Q2,0
CUST-000040,40.0,Female,Malaysia,Johor Bahru,2.8,20.1,16.6,1.97,34.56,7,4,29.87,60,29.48,17.99,40.78,2,1,56.58,4.3,2,169.3,10.97,2024-Q3,0
CUST-000041,56.0,Female,Indonesia,Bandung,1.9,16.9,4.9,4.71,72.13,6,9,180.96,88,28.07,35.39,30.09,4,3,29.0,2.3,3,1694.79,145.45,2024-Q4,0
CUST-000042,44.0,Male,Philippines,Cebu,6.2,18.4,15.0,8.71,21.73,5,7,189.22,75,32.75,33.77,62.66,2,1,66.78,5.0,3,1406.82,12.16,2024-Q3,0
CUST-000043,15.0,Male,Malaysia,Penang,2.9,17.7,16.0,8.88,69.25,3,11,123.0,52,39.74,26.58,58.24,1,2,28.55,5.3,2,1445.56,23.44,2024-Q2,0
CUST-000044,63.0,Male,Indonesia,Medan,1.5,21.1,12.4,9.2,35.08,5,8,150.35,13,57.11,4.8,23.04,1,3,54.3,9.1,2,1197.14,14.81,2025-Q1,0
